14:00:14:566 -> Mic0:  0.183 Mic1:  0.175 Mic2:  0.112 Mic3:  0.209
14:00:14:671 -> Mic0:  0.164 Mic1:  0.107 Mic2:  0.184 Mic3:  0.152
14:00:14:772 -> Mic0:  0.181 Mic1:  0.166 Mic2:  0.166 Mic3:  0.195
14:00:14:872 -> Mic0:  0.175 Mic1:  0.146 Mic2:  0.206 Mic3:  0.149
14:00:14:977 -> Mic0:  0.136 Mic1:  0.146 Mic2:  0.131 Mic3:  0.110
14:00:15:079 -> Mic0:  0.148 Mic1:  0.149 Mic2:  0.116 Mic3:  0.177
14:00:15:179 -> Mic0:  0.135 Mic1:  0.148 Mic2:  0.181 Mic3:  0.153
14:00:15:283 -> Mic0:  0.186 Mic1:  0.146 Mic2:  0.189 Mic3:  0.192
14:00:15:385 -> Mic0:  0.212 Mic1:  0.126 Mic2:  0.105 Mic3:  0.175
14:00:15:485 -> Mic0:  0.161 Mic1:  0.080 Mic2:  0.167 Mic3:  0.157
14:00:15:584 -> Mic0:  0.118 Mic1:  0.121 Mic2:  0.136 Mic3:  0.122
14:00:15:685 -> Mic0:  0.320 Mic1:  0.183 Mic2:  0.163 Mic3:  0.221
14:00:15:789 -> Mic0:  0.216 Mic1:  0.157 Mic2:  0.126 Mic3:  0.138
14:00:15:891 -> Mic0:  0.140 Mic1:  0.120 Mic2:  0.170 Mic3:  0.130
14:00:15:991 -> Mic0:  0.143 Mic1:  0.191 Mic2:  0.152 Mic3:  0.157
14:00:16:096 -> Mic0:  0.221 Mic1:  0.188 Mic2:  0.182 Mic3:  0.145
14:00:16:198 -> Mic0:  0.193 Mic1:  0.140 Mic2:  0.174 Mic3:  0.186
14:00:16:298 -> Mic0:  0.183 Mic1:  0.174 Mic2:  0.152 Mic3:  0.141
14:00:16:402 -> Mic0:  0.081 Mic1:  0.122 Mic2:  0.146 Mic3:  0.174
14:00:16:505 -> Mic0:  0.755 Mic1:  0.133 Mic2:  0.143 Mic3:  0.356
14:00:16:604 -> Mic0:  0.186 Mic1:  0.127 Mic2:  0.172 Mic3:  0.135
14:00:16:704 -> Mic0:  0.205 Mic1:  0.167 Mic2:  0.136 Mic3:  0.171
14:00:16:804 -> Mic0:  0.139 Mic1:  0.208 Mic2:  0.163 Mic3:  0.142
14:00:16:908 -> Mic0:  0.216 Mic1:  0.234 Mic2:  0.118 Mic3:  0.204
14:00:17:010 -> Mic0:  0.175 Mic1:  0.176 Mic2:  0.168 Mic3:  0.164
14:00:17:110 -> Mic0:  0.175 Mic1:  0.183 Mic2:  0.133 Mic3:  0.136
14:00:17:215 -> Mic0:  0.165 Mic1:  0.176 Mic2:  0.102 Mic3:  0.130
14:00:17:317 -> Mic0:  0.177 Mic1:  0.200 Mic2:  0.131 Mic3:  0.180
14:00:17:417 -> Mic0:  0.292 Mic1:  0.318 Mic2:  0.159 Mic3:  0.261
14:00:17:522 -> Mic0:  0.123 Mic1:  0.141 Mic2:  0.170 Mic3:  0.123
14:00:17:623 -> Mic0:  0.174 Mic1:  0.234 Mic2:  0.214 Mic3:  0.122
14:00:17:723 -> Mic0:  0.166 Mic1:  0.174 Mic2:  0.153 Mic3:  0.170
14:00:17:823 -> Mic0:  0.198 Mic1:  0.083 Mic2:  0.128 Mic3:  0.109
14:00:17:923 -> Mic0:  0.158 Mic1:  0.102 Mic2:  0.187 Mic3:  0.141
14:00:18:027 -> Mic0:  0.121 Mic1:  0.197 Mic2:  0.145 Mic3:  0.124
14:00:18:129 -> Mic0:  0.150 Mic1:  0.183 Mic2:  0.156 Mic3:  0.137
14:00:18:229 -> Mic0:  0.210 Mic1:  0.162 Mic2:  0.174 Mic3:  0.150
14:00:18:334 -> Mic0:  0.159 Mic1:  0.195 Mic2:  0.137 Mic3:  0.103
14:00:18:436 -> Mic0:  0.166 Mic1:  0.167 Mic2:  0.153 Mic3:  0.136
14:00:18:536 -> Mic0:  0.457 Mic1:  0.524 Mic2:  0.870 Mic3:  0.678
14:00:18:640 -> Mic0:  0.119 Mic1:  0.177 Mic2:  0.180 Mic3:  0.089
14:00:18:742 -> Mic0:  0.136 Mic1:  0.141 Mic2:  0.100 Mic3:  0.111
14:00:18:842 -> Mic0:  0.194 Mic1:  0.209 Mic2:  0.154 Mic3:  0.137
14:00:18:942 -> Mic0:  0.125 Mic1:  0.168 Mic2:  0.197 Mic3:  0.152
14:00:19:042 -> Mic0:  0.149 Mic1:  0.166 Mic2:  0.139 Mic3:  0.135
14:00:19:146 -> Mic0:  0.106 Mic1:  0.110 Mic2:  0.172 Mic3:  0.136
14:00:19:249 -> Mic0:  0.138 Mic1:  0.133 Mic2:  0.084 Mic3:  0.106
14:00:19:349 -> Mic0:  0.194 Mic1:  0.140 Mic2:  0.150 Mic3:  0.146
14:00:19:453 -> Mic0:  0.162 Mic1:  0.168 Mic2:  0.149 Mic3:  0.157
14:00:19:555 -> Mic0:  0.139 Mic1:  0.165 Mic2:  0.172 Mic3:  0.104
14:00:19:655 -> Mic0:  0.135 Mic1:  0.127 Mic2:  0.153 Mic3:  0.140
14:00:19:759 -> Mic0:  0.147 Mic1:  0.112 Mic2:  0.150 Mic3:  0.183
14:00:19:861 -> Mic0:  0.147 Mic1:  0.137 Mic2:  0.144 Mic3:  0.193
14:00:19:961 -> Mic0:  0.120 Mic1:  0.096 Mic2:  0.167 Mic3:  0.152
14:00:20:061 -> Mic0:  0.167 Mic1:  0.139 Mic2:  0.147 Mic3:  0.123
14:00:20:161 -> Mic0:  0.222 Mic1:  0.151 Mic2:  0.164 Mic3:  0.105
